snapshot_date,product_id,warehouse_id,quantity_on_hand,reorder_point
2026-08-13,PROD-00166,STORE-009,432,37
2026-07-06,PROD-00241,STORE-025,145,44
2026-06-05,PROD-00079,STORE-004,421,36
2026-05-25,PROD-00215,STORE-023,496,10
2026-07-05,PROD-00212,STORE-006,3,12
2026-07-24,PROD-00093,STORE-007,458,12
2026-07-26,PROD-00190,STORE-022,97,44
2026-07-04,PROD-00236,STORE-023,130,40
2026-07-26,PROD-00098,STORE-007,325,24
2026-07-25,PROD-00079,STORE-011,443,17
2026-08-14,PROD-00078,STORE-023,118,10
2026-06-04,PROD-00264,STORE-005,446,22
2026-06-09,PROD-00007,STORE-001,212,12
2026-08-10,PROD-00296,STORE-004,408,33
2026-06-11,PROD-00022,STORE-013,361,16
2026-05-25,PROD-00096,STORE-006,488,49
2026-07-05,PROD-00229,STORE-021,219,33
2026-07-28,PROD-00085,STORE-009,160,34
2026-06-16,PROD-00069,STORE-021,463,16
2026-05-30,PROD-00189,STORE-016,379,31
2026-05-27,PROD-00081,STORE-013,108,28
2026-08-07,PROD-00047,STORE-017,456,31
2026-07-28,PROD-00194,STORE-006,36,31
2026-07-22,PROD-00095,STORE-011,293,11
2026-06-11,PROD-00214,STORE-017,323,44
2026-06-11,PROD-00043,STORE-022,413,19
2026-07-18,PROD-00081,STORE-021,131,29
2026-05-27,PROD-00120,STORE-019,191,38
2026-08-02,PROD-00209,STORE-009,220,34
2026-07-12,PROD-00101,STORE-001,15,33
2026-07-14,PROD-00178,STORE-010,21,33
2026-06-20,PROD-00122,STORE-004,175,30
2026-06-22,PROD-00106,STORE-009,293,30
2026-08-12,PROD-00224,STORE-004,79,38
2026-08-08,PROD-00040,STORE-014,387,33
2026-06-21,PROD-00048,STORE-004,272,44
2026-05-30,PROD-00167,STORE-009,322,30
2026-06-29,PROD-00195,STORE-023,27,47
2026-08-22,PROD-00241,STORE-001,123,21
2026-08-21,PROD-00250,STORE-005,142,44
2026-07-09,PROD-00296,STORE-022,64,27
2026-05-31,PROD-00115,STORE-020,435,17
2026-06-26,PROD-00138,STORE-008,133,43
2026-05-30,PROD-00250,STORE-015,330,17
2026-06-16,PROD-00036,STORE-021,441,43
2026-06-23,PROD-00295,STORE-005,110,18
2026-06-22,PROD-00266,STORE-016,436,13
2026-08-19,PROD-00022,STORE-005,262,16
2026-07-15,PROD-00249,STORE-009,5,22
2026-06-02,PROD-00074,STORE-009,324,26
2026-08-03,PROD-00259,STORE-017,285,30
2026-06-02,PROD-00106,STORE-011,83,29
2026-07-04,PROD-00185,STORE-007,259,27
2026-08-06,PROD-00134,STORE-001,422,28
2026-05-29,PROD-00158,STORE-015,184,26
2026-06-23,PROD-00104,STORE-002,23,21
2026-08-01,PROD-00176,STORE-011,475,42
2026-08-07,PROD-00077,STORE-019,51,28
2026-07-09,PROD-00080,STORE-015,368,37
2026-06-06,PROD-00243,STORE-009,65,24
2026-06-03,PROD-00258,STORE-014,286,28
2026-07-06,PROD-00048,STORE-009,423,29
2026-06-30,PROD-00120,STORE-007,351,10
2026-06-13,PROD-00222,STORE-007,393,46
2026-07-30,PROD-00121,STORE-010,90,21
2026-06-05,PROD-00093,STORE-003,301,47
2026-07-29,PROD-00071,STORE-004,492,33
2026-07-16,PROD-00012,STORE-019,406,12
2026-06-08,PROD-00102,STORE-022,487,28
2026-08-09,PROD-00193,STORE-007,318,43
2026-07-16,PROD-00004,STORE-010,124,16
2026-06-20,PROD-00291,STORE-005,487,45
2026-06-29,PROD-00194,STORE-008,309,50
2026-07-15,PROD-00103,STORE-021,436,49
2026-08-05,PROD-00038,STORE-022,55,38
2026-08-12,PROD-00071,STORE-013,243,16
2026-08-12,PROD-00013,STORE-002,39,29
2026-07-01,PROD-00092,STORE-010,221,50
2026-07-27,PROD-00269,STORE-015,415,27
2026-06-29,PROD-00249,STORE-003,0,34
2026-06-12,PROD-00114,STORE-012,165,48
2026-06-30,PROD-00076,STORE-001,413,20
2026-06-13,PROD-00017,STORE-020,457,22
2026-07-24,PROD-00186,STORE-016,364,24
2026-08-15,PROD-00288,STORE-015,97,45
2026-07-10,PROD-00187,STORE-003,420,35
2026-07-27,PROD-00227,STORE-014,140,22
2026-06-07,PROD-00004,STORE-010,94,18
2026-08-16,PROD-00135,STORE-017,471,50
2026-06-09,PROD-00014,STORE-018,179,10
2026-07-20,PROD-00229,STORE-011,443,24
2026-06-23,PROD-00133,STORE-024,410,10
2026-07-18,PROD-00035,STORE-016,269,25
2026-07-14,PROD-00004,STORE-024,181,41
2026-08-10,PROD-00099,STORE-008,461,12
2026-06-04,PROD-00102,STORE-001,278,18
2026-08-10,PROD-00094,STORE-005,165,12
2026-07-10,PROD-00064,STORE-020,324,24
2026-08-03,PROD-00136,STORE-002,190,15
2026-08-18,PROD-00057,STORE-009,388,25
2026-06-11,PROD-00258,STORE-019,40,42
2026-06-07,PROD-00174,STORE-019,118,44
2026-06-03,PROD-00041,STORE-009,201,23
2026-08-17,PROD-00107,STORE-012,360,35
2026-07-05,PROD-00076,STORE-003,311,17
2026-07-17,PROD-00075,STORE-013,192,12
2026-07-21,PROD-00186,STORE-024,338,33
2026-06-10,PROD-00035,STORE-021,91,25
2026-07-18,PROD-00103,STORE-023,440,44
2026-05-27,PROD-00276,STORE-004,283,33
2026-08-22,PROD-00025,STORE-020,78,38
2026-08-13,PROD-00109,STORE-001,91,11
2026-08-08,PROD-00133,STORE-019,392,31
2026-05-25,PROD-00164,STORE-014,308,39
2026-07-10,PROD-00087,STORE-010,451,41
2026-06-04,PROD-00157,STORE-017,60,23
2026-07-01,PROD-00094,STORE-024,418,39
2026-07-09,PROD-00106,STORE-012,315,43
2026-07-28,PROD-00181,STORE-009,161,44
2026-06-18,PROD-00140,STORE-010,189,22
2026-06-04,PROD-00049,STORE-012,322,39
2026-07-15,PROD-00161,STORE-005,303,28
2026-07-06,PROD-00074,STORE-016,159,26
2026-08-22,PROD-00061,STORE-017,94,50
2026-06-25,PROD-00064,STORE-011,167,16
2026-06-26,PROD-00036,STORE-011,234,17
2026-06-22,PROD-00123,STORE-004,286,23
2026-08-01,PROD-00068,STORE-025,319,28
2026-06-28,PROD-00023,STORE-005,499,39
2026-05-31,PROD-00027,STORE-001,,31
2026-06-29,PROD-00160,STORE-009,340,31
2026-05-28,PROD-00175,STORE-014,382,41
2026-06-04,PROD-00243,STORE-005,374,38
2026-08-04,PROD-00013,STORE-014,48,49
2026-06-16,PROD-00255,STORE-018,335,40
2026-07-28,PROD-00278,STORE-004,488,37
2026-06-08,PROD-00143,STORE-020,100,17
2026-07-16,PROD-00285,STORE-003,147,18
2026-07-01,PROD-00127,STORE-008,176,19
2026-06-13,PROD-00007,STORE-008,24,18
2026-08-07,PROD-00132,STORE-020,192,18
2026-07-07,PROD-00184,STORE-012,37,35
2026-06-13,PROD-00214,STORE-022,116,37
2026-07-29,PROD-00271,STORE-006,216,19
2026-07-05,PROD-00133,STORE-017,73,23
2026-06-02,PROD-00127,STORE-018,54,40
2026-07-15,PROD-00259,STORE-001,401,21
2026-08-02,PROD-00257,STORE-006,52,37
2026-06-23,PROD-00148,STORE-001,220,50
2026-07-17,PROD-00054,STORE-020,390,46
2026-06-25,PROD-00036,STORE-022,462,36
2026-05-25,PROD-00121,STORE-023,95,29
2026-06-18,PROD-00280,STORE-023,123,25
2026-07-27,PROD-00152,STORE-011,167,12
2026-06-06,PROD-00105,STORE-016,99,13
2026-08-20,PROD-00254,STORE-018,296,32
2026-07-02,PROD-00120,STORE-001,403,34
2026-07-14,PROD-00132,STORE-001,363,42
2026-07-25,PROD-00188,STORE-012,257,27
2026-07-28,PROD-00006,STORE-006,442,24
2026-07-31,PROD-00251,STORE-009,86,35
2026-07-02,PROD-00208,STORE-009,280,45
2026-06-12,PROD-00275,STORE-009,5,41
2026-07-17,PROD-00140,STORE-005,333,48
2026-07-13,PROD-00232,STORE-005,261,18
2026-06-06,PROD-00298,STORE-007,102,31
2026-05-25,PROD-00028,STORE-007,359,47
2026-07-21,PROD-00286,STORE-007,496,43
2026-07-17,PROD-00047,STORE-015,461,19
2026-07-10,PROD-00240,STORE-009,79,32
2026-07-23,PROD-00259,STORE-011,36,14
2026-06-26,PROD-00240,STORE-001,454,13
2026-06-08,PROD-00021,STORE-001,453,32
2026-06-06,PROD-00139,STORE-025,169,40
2026-06-03,PROD-00228,STORE-022,458,38
2026-05-29,PROD-00172,STORE-020,270,44
2026-06-16,PROD-00023,STORE-009,50,21
2026-08-07,PROD-00013,STORE-014,68,30
2026-05-31,PROD-00128,STORE-012,363,22
2026-08-19,PROD-00179,STORE-003,407,21
2026-07-23,PROD-00045,STORE-023,387,49
2026-07-30,PROD-00070,STORE-016,459,17
2026-06-15,PROD-00096,STORE-005,6,42
2026-08-21,PROD-00211,STORE-003,110,25
2026-07-15,PROD-00113,STORE-019,154,48
2026-07-07,PROD-00216,STORE-013,291,22
2026-08-02,PROD-00065,STORE-025,493,12
2026-06-05,PROD-00224,STORE-017,179,27
2026-08-04,PROD-00178,STORE-023,43,44
2026-07-12,PROD-00250,STORE-019,350,11
2026-07-29,PROD-00170,STORE-011,203,14
2026-07-04,PROD-00095,STORE-008,359,12
2026-06-04,PROD-00196,STORE-021,311,49
2026-06-16,PROD-00259,STORE-024,451,37
2026-08-16,PROD-00027,STORE-015,245,35
2026-07-25,PROD-00240,STORE-023,474,36
2026-05-29,PROD-00049,STORE-014,162,20
2026-08-14,PROD-00002,STORE-004,249,20
2026-08-09,PROD-00077,STORE-022,452,33
2026-06-30,PROD-00115,STORE-020,392,37
2026-08-08,PROD-00089,STORE-002,396,49
2026-07-31,PROD-00125,STORE-009,456,20
2026-08-09,PROD-00012,STORE-021,391,15
2026-07-10,PROD-00296,STORE-014,,21
2026-07-18,PROD-00084,STORE-017,129,34
2026-06-26,PROD-00035,STORE-011,237,46
2026-06-07,PROD-00243,STORE-001,,18
2026-08-06,PROD-00052,STORE-016,17,28
2026-07-26,PROD-00161,STORE-015,336,47
2026-06-25,PROD-00158,STORE-005,379,44
2026-07-14,PROD-00010,STORE-006,450,30
2026-06-04,PROD-00244,STORE-017,165,30
2026-08-18,PROD-00015,STORE-020,226,44
2026-07-12,PROD-00028,STORE-002,163,35
2026-08-06,PROD-00232,STORE-020,234,44
2026-06-29,PROD-00067,STORE-019,161,14
2026-07-01,PROD-00257,STORE-021,419,38
2026-07-06,PROD-00004,STORE-013,50,39
2026-05-25,PROD-00165,STORE-018,133,43
2026-06-30,PROD-00069,STORE-024,264,20
2026-06-23,PROD-00107,STORE-010,282,49
2026-07-11,PROD-00160,STORE-004,176,33
2026-07-27,PROD-00222,STORE-007,436,18
2026-08-02,PROD-00151,STORE-005,1,19
2026-05-25,PROD-00216,STORE-002,7,47
2026-07-08,PROD-00135,STORE-007,292,13
2026-06-05,PROD-00269,STORE-001,269,27
2026-07-03,PROD-00012,STORE-005,25,45
2026-07-20,PROD-00149,STORE-002,291,20
2026-08-10,PROD-00137,STORE-020,441,43
2026-07-22,PROD-00258,STORE-013,290,36
2026-06-29,PROD-00005,STORE-023,2,28
2026-07-21,PROD-00150,STORE-008,288,48
2026-07-05,PROD-00044,STORE-023,119,10
2026-08-10,PROD-00088,STORE-018,116,25
2026-06-23,PROD-00201,STORE-020,414,33
2026-06-11,PROD-00036,STORE-023,372,33
2026-06-28,PROD-00169,STORE-021,287,35
2026-08-08,PROD-00267,STORE-008,479,48
2026-05-26,PROD-00216,STORE-019,464,39
2026-06-23,PROD-00295,STORE-005,110,18
2026-06-16,PROD-00259,STORE-024,451,37
2026-07-22,PROD-00009,STORE-018,253,28
2026-06-21,PROD-00295,STORE-021,40,19
2026-06-17,PROD-00083,STORE-001,399,40
2026-06-04,PROD-00112,STORE-008,49,22
2026-08-17,PROD-00124,STORE-020,274,41
2026-06-18,PROD-00066,STORE-012,406,14
2026-08-20,PROD-00194,STORE-014,292,13
2026-07-19,PROD-00028,STORE-002,361,46
2026-06-03,PROD-00030,STORE-020,360,33
2026-08-18,PROD-00043,STORE-012,462,16
2026-08-15,PROD-00250,STORE-019,108,30
2026-06-09,PROD-00243,STORE-023,151,20
2026-08-05,PROD-00257,STORE-017,198,35
2026-08-17,PROD-00124,STORE-020,274,41
2026-06-14,PROD-00118,STORE-013,74,38
2026-05-28,PROD-00115,STORE-014,283,19
2026-06-01,PROD-00130,STORE-022,191,25
2026-06-19,PROD-00026,STORE-014,357,24
2026-06-29,PROD-00131,STORE-015,94,18
2026-07-25,PROD-00133,STORE-021,461,23
2026-05-29,PROD-00213,STORE-002,259,25
2026-05-30,PROD-00256,STORE-003,317,32
2026-07-20,PROD-00182,STORE-001,230,30
2026-07-02,PROD-00037,STORE-013,382,43
2026-06-23,PROD-00012,STORE-005,362,23
2026-06-28,PROD-00185,STORE-007,305,10
2026-08-16,PROD-00039,STORE-007,74,17
2026-07-21,PROD-00221,STORE-023,433,12
2026-07-16,PROD-00277,STORE-013,426,38
2026-07-21,PROD-00273,STORE-001,27,36
2026-06-09,PROD-00161,STORE-024,412,42
2026-07-03,PROD-00135,STORE-013,282,24
2026-05-31,PROD-00066,STORE-002,255,46
2026-06-14,PROD-00160,STORE-015,59,14
2026-06-18,PROD-00150,STORE-022,40,11
2026-07-12,PROD-00223,STORE-010,132,47
2026-07-01,PROD-00255,STORE-024,151,17
2026-08-01,PROD-00083,STORE-004,199,20
2026-08-19,PROD-00066,STORE-022,102,30
2026-08-16,PROD-00262,STORE-014,45,49
2026-07-20,PROD-00069,STORE-003,374,15
2026-08-21,PROD-00211,STORE-009,429,27
2026-06-22,PROD-00157,STORE-015,270,42
2026-05-25,PROD-00021,STORE-004,267,20
2026-06-12,PROD-00109,STORE-006,45,34
2026-07-26,PROD-00231,STORE-024,175,33
2026-06-12,PROD-00245,STORE-012,116,14
2026-05-25,PROD-00234,STORE-012,37,29
2026-06-23,PROD-00067,STORE-004,56,45
2026-07-20,PROD-00004,STORE-018,183,18
2026-06-04,PROD-00183,STORE-014,128,23
2026-06-26,PROD-00282,STORE-011,63,35
2026-06-29,PROD-00265,STORE-002,268,48
2026-05-26,PROD-00165,STORE-025,356,14
2026-06-07,PROD-00165,STORE-010,368,43
2026-07-20,PROD-00113,STORE-017,149,40
2026-06-03,PROD-00287,STORE-005,44,17
2026-08-04,PROD-00039,STORE-006,481,35
2026-07-03,PROD-00193,STORE-009,26,48
2026-08-18,PROD-00056,STORE-002,135,33
2026-07-10,PROD-00144,STORE-006,378,27
2026-06-05,PROD-00050,STORE-014,142,39
2026-06-14,PROD-00280,STORE-002,2,10
2026-08-22,PROD-00239,STORE-021,358,35
2026-06-30,PROD-00001,STORE-007,475,26
2026-07-30,PROD-00034,STORE-016,331,38
2026-07-23,PROD-00205,STORE-019,472,32
2026-08-08,PROD-00098,STORE-025,351,26
2026-08-13,PROD-00060,STORE-014,302,40
2026-07-25,PROD-00115,STORE-005,83,20
2026-08-04,PROD-00262,STORE-013,484,31
2026-06-06,PROD-00144,STORE-016,9,50
2026-06-06,PROD-00059,STORE-022,290,26
2026-06-07,PROD-00201,STORE-006,311,36
2026-07-11,PROD-00148,STORE-013,165,16
2026-06-18,PROD-00174,STORE-019,214,50
2026-07-08,PROD-00114,STORE-004,132,48
2026-07-19,PROD-00036,STORE-020,476,46
2026-08-03,PROD-00251,STORE-023,376,26
2026-06-13,PROD-00258,STORE-014,183,35
2026-07-24,PROD-00253,STORE-024,467,23
2026-06-12,PROD-00018,STORE-023,497,17
2026-05-31,PROD-00114,STORE-014,,29
2026-08-12,PROD-00222,STORE-017,462,40
2026-05-26,PROD-00163,STORE-015,475,20
2026-06-06,PROD-00258,STORE-006,71,15
2026-07-24,PROD-00220,STORE-006,373,38
2026-05-26,PROD-00147,STORE-025,313,35
2026-08-14,PROD-00209,STORE-010,159,33
2026-08-01,PROD-00050,STORE-012,457,40
2026-07-03,PROD-00057,STORE-021,137,23
2026-07-23,PROD-00185,STORE-023,234,45
2026-08-11,PROD-00074,STORE-015,261,22
2026-06-27,PROD-00298,STORE-008,430,30
2026-08-06,PROD-00154,STORE-022,62,19
2026-07-03,PROD-00034,STORE-016,74,41
2026-06-16,PROD-00255,STORE-015,381,29
2026-07-08,PROD-00297,STORE-014,499,45
2026-06-26,PROD-00182,STORE-023,341,33
2026-05-25,PROD-00146,STORE-003,59,43
2026-06-25,PROD-00084,STORE-017,448,48
2026-05-30,PROD-00186,STORE-019,251,49
2026-08-08,PROD-00011,STORE-014,313,25
2026-08-21,PROD-00227,STORE-017,154,38
2026-08-17,PROD-00298,STORE-007,463,21
2026-08-15,PROD-00138,STORE-013,362,35
2026-08-01,PROD-00081,STORE-012,31,48
2026-08-15,PROD-00030,STORE-001,224,45
2026-07-17,PROD-00244,STORE-010,430,20
2026-07-07,PROD-00034,STORE-016,353,32
2026-07-28,PROD-00130,STORE-008,39,21
2026-08-02,PROD-00253,STORE-020,194,18
2026-08-19,PROD-00269,STORE-018,334,50
2026-07-04,PROD-00068,STORE-007,325,31
2026-06-01,PROD-00202,STORE-006,389,47
2026-06-30,PROD-00264,STORE-023,306,10
2026-07-20,PROD-00060,STORE-019,51,34
2026-06-12,PROD-00014,STORE-015,126,27
2026-06-27,PROD-00125,STORE-006,31,26
2026-06-03,PROD-00299,STORE-011,72,24
2026-06-10,PROD-00161,STORE-025,112,17
2026-05-31,PROD-00051,STORE-012,283,19
2026-07-23,PROD-00064,STORE-014,248,18
2026-06-23,PROD-00290,STORE-004,259,24
2026-07-31,PROD-00096,STORE-025,183,46
2026-06-14,PROD-00158,STORE-013,31,47
2026-07-08,PROD-00057,STORE-017,500,31
2026-06-16,PROD-00227,STORE-019,160,29
2026-08-03,PROD-00149,STORE-021,313,41
2026-07-10,PROD-00165,STORE-006,477,25
2026-07-29,PROD-00200,STORE-009,17,16
2026-07-26,PROD-00051,STORE-011,207,23
2026-08-14,PROD-00069,STORE-011,475,11
2026-08-18,PROD-00156,STORE-021,475,22
2026-08-21,PROD-00088,STORE-022,162,15
2026-07-21,PROD-00234,STORE-019,172,43
2026-08-03,PROD-00128,STORE-020,409,35
2026-07-04,PROD-00118,STORE-016,153,33
2026-08-19,PROD-00081,STORE-020,234,17
2026-07-31,PROD-00057,STORE-014,487,28
2026-08-08,PROD-00243,STORE-020,25,37
2026-07-14,PROD-00249,STORE-020,285,42
2026-06-08,PROD-00285,STORE-011,428,16
2026-08-17,PROD-00014,STORE-008,314,35
2026-08-19,PROD-00262,STORE-004,494,48
2026-06-21,PROD-00110,STORE-014,,29
2026-08-20,PROD-00196,STORE-024,18,32
2026-06-23,PROD-00117,STORE-008,37,37
2026-08-10,PROD-00174,STORE-004,89,40
2026-07-23,PROD-00004,STORE-008,,14
2026-07-04,PROD-00137,STORE-017,432,16
2026-07-01,PROD-00108,STORE-018,79,43
2026-08-18,PROD-00253,STORE-014,215,38
2026-06-01,PROD-00169,STORE-008,464,13
2026-06-23,PROD-00130,STORE-001,119,43
2026-06-20,PROD-00232,STORE-015,497,49
2026-07-10,PROD-00167,STORE-014,,36
2026-07-26,PROD-00198,STORE-017,423,24
2026-07-27,PROD-00034,STORE-022,206,13
2026-07-18,PROD-00268,STORE-020,407,42
2026-08-09,PROD-00139,STORE-003,355,44
2026-07-01,PROD-00020,STORE-024,214,43
2026-08-11,PROD-00086,STORE-013,242,30
2026-07-16,PROD-00157,STORE-013,486,40
2026-05-29,PROD-00079,STORE-018,195,32
2026-07-11,PROD-00131,STORE-009,176,48
2026-06-25,PROD-00277,STORE-009,261,13
2026-06-21,PROD-00104,STORE-003,36,36
2026-08-21,PROD-00041,STORE-023,381,28
2026-07-30,PROD-00191,STORE-016,120,46
2026-07-11,PROD-00184,STORE-006,122,43
2026-07-29,PROD-00006,STORE-020,13,31
2026-07-22,PROD-00095,STORE-011,293,11
2026-08-03,PROD-00042,STORE-019,431,21
2026-08-01,PROD-00146,STORE-006,336,13
2026-06-25,PROD-00296,STORE-010,402,22
2026-08-12,PROD-00076,STORE-020,75,49
2026-05-30,PROD-00287,STORE-003,163,50
2026-07-13,PROD-00202,STORE-020,490,43
2026-06-03,PROD-00098,STORE-019,443,32
2026-08-15,PROD-00100,STORE-020,219,13
2026-07-24,PROD-00001,STORE-001,485,28
2026-07-23,PROD-00009,STORE-016,10,31
2026-07-08,PROD-00289,STORE-025,341,20
2026-05-30,PROD-00245,STORE-003,229,45
2026-06-12,PROD-00287,STORE-025,220,38
2026-08-19,PROD-00052,STORE-015,262,40
2026-07-05,PROD-00170,STORE-001,360,20
2026-08-21,PROD-00165,STORE-021,456,21
2026-06-08,PROD-00162,STORE-004,88,21
2026-07-13,PROD-00160,STORE-016,330,17
2026-06-04,PROD-00115,STORE-002,99,32
2026-07-27,PROD-00119,STORE-015,388,50
2026-08-15,PROD-00213,STORE-015,410,15
2026-08-16,PROD-00231,STORE-010,109,40
2026-08-20,PROD-00249,STORE-012,418,29
2026-07-27,PROD-00169,STORE-016,94,13
2026-07-09,PROD-00196,STORE-022,473,33
2026-06-29,PROD-00200,STORE-001,50,22
2026-06-04,PROD-00180,STORE-012,377,39
2026-07-24,PROD-00035,STORE-019,43,11
2026-08-20,PROD-00228,STORE-007,304,48
2026-07-08,PROD-00227,STORE-017,396,34
2026-08-20,PROD-00251,STORE-014,350,25
2026-07-09,PROD-00145,STORE-011,404,17
2026-07-04,PROD-00087,STORE-001,192,26
2026-08-13,PROD-00012,STORE-013,478,32
2026-07-02,PROD-00115,STORE-011,305,22
2026-05-26,PROD-00267,STORE-025,489,13
2026-07-17,PROD-00248,STORE-012,251,28
2026-07-22,PROD-00030,STORE-009,375,42
2026-07-24,PROD-00083,STORE-001,241,37
2026-07-16,PROD-00096,STORE-004,450,33
2026-05-26,PROD-00254,STORE-014,250,26
2026-07-15,PROD-00121,STORE-005,247,15
2026-08-20,PROD-00040,STORE-015,351,44
2026-06-07,PROD-00068,STORE-024,385,31
2026-06-05,PROD-00077,STORE-009,345,47
2026-05-26,PROD-00013,STORE-013,109,43
2026-07-07,PROD-00248,STORE-025,485,15
2026-06-23,PROD-00133,STORE-025,304,30
